SQL, 3, Del, TableB, 100, 10, True, 3.627181053161621, 3.659367561340332, 0.21462329290986212, 2020-03-31_225118
AS, 1, Ins, Table1A, 1000, 1, True, 0.9900531768798828, 0.972747802734375, 0.11717338968108502, 2020-03-31_225122
AS, 1, Ins, Table1B, 1000, 1, True, 2.1249642372131348, 2.009153366088867, 0.582002006045694, 2020-03-31_225122
AS, 1, Ins, Table1A, 1000, 1, False, 1.0825645923614502, 0.9833574295043945, 0.5584402500340424, 2020-03-31_225127
AS, 1, Ins, Table1B, 1000, 1, False, 1.0337636470794678, 0.9765625, 0.4209016336973462, 2020-03-31_225127
AS, 1, Upd, Table1A, 1000, 1, False, 1.0089502334594727, 0.9825229644775391, 0.2543414464218479, 2020-03-31_225129
AS, 1, Upd, Table1B, 1000, 1, False, 0.9802556037902832, 0.9628534317016602, 0.12314317118903008, 2020-03-31_225129
AS, 1, Upd, Table1A, 1000, 1, True, 1.0028743743896484, 0.9645223617553711, 0.23609908326540294, 2020-03-31_225136
AS, 1, Upd, Table1B, 1000, 1, True, 1.2257866859436035, 0.9735822677612305, 6.751346665310578, 2020-03-31_225136
AS, 1, Del, Table1A, 1000, 1, True, 1.1927895545959473, 0.9644031524658203, 1.597181833724774, 2020-03-31_225144
AS, 1, Del, Table1B, 1000, 1, True, 3.366361141204834, 3.023982048034668, 1.4232929564644348, 2020-03-31_225144
AS, 1, Del, Table1A, 1000, 1, False, 1.1112446784973145, 0.9710788726806641, 0.6235044409308105, 2020-03-31_225149
AS, 1, Del, Table1B, 1000, 1, False, 1.0567941665649414, 0.9675025939941406, 0.4053370327241441, 2020-03-31_225149
AS, 1, Ins, Table1A, 1000, 5, True, 1.0892963409423828, 0.9797811508178711, 0.6185827142388317, 2020-03-31_225154
AS, 1, Ins, Table1B, 1000, 5, True, 2.813143014907837, 2.6623010635375977, 0.8874568490158917, 2020-03-31_225154
AS, 1, Ins, Table1A, 1000, 5, False, 1.1563832759857178, 1.0151863098144531, 0.5187083108574567, 2020-03-31_225159
AS, 1, Ins, Table1B, 1000, 5, False, 1.1448962688446045, 1.0207891464233398, 0.5584741042025173, 2020-03-31_225159
AS, 1, Upd, Table1A, 1000, 5, False, 1.300069808959961, 1.0440349578857422, 1.128656719371684, 2020-03-31_225202
AS, 1, Upd, Table1B, 1000, 5, False, 1.2316126823425293, 1.0821819305419922, 0.6891914656978387, 2020-03-31_225202
AS, 1, Upd, Table1A, 1000, 5, True, 1.181687831878662, 1.0355710983276367, 0.6343037073317145, 2020-03-31_225210
AS, 1, Upd, Table1B, 1000, 5, True, 1.2008318901062012, 1.0454654693603516, 0.5921787324029177, 2020-03-31_225210
AS, 1, Del, Table1A, 1000, 5, True, 1.1249675750732422, 1.0180473327636719, 0.39902394540268005, 2020-03-31_225220
AS, 1, Del, Table1B, 1000, 5, True, 3.685234546661377, 3.319978713989258, 0.9651259315789594, 2020-03-31_225220
AS, 1, Del, Table1A, 1000, 5, False, 1.0348901748657227, 0.9511709213256836, 0.4851117605992042, 2020-03-31_225224
AS, 1, Del, Table1B, 1000, 5, False, 1.0509095191955566, 0.9491443634033203, 0.4861536889777418, 2020-03-31_225224
AS, 1, Ins, Table1A, 1000, 10, True, 1.075437307357788, 0.9931325912475586, 0.600065528067217, 2020-03-31_225229
AS, 1, Ins, Table1B, 1000, 10, True, 2.792172431945801, 2.6807785034179688, 0.7724097314995948, 2020-03-31_225229
AS, 1, Ins, Table1A, 1000, 10, False, 1.0447232723236084, 0.9915828704833984, 0.31510331752531406, 2020-03-31_225234
AS, 1, Ins, Table1B, 1000, 10, False, 1.0309877395629883, 0.9863376617431641, 0.3358401717997596, 2020-03-31_225234
AS, 1, Upd, Table1A, 1000, 10, False, 1.0476276874542236, 0.9648799896240234, 0.8548875639959204, 2020-03-31_225236
AS, 1, Upd, Table1B, 1000, 10, False, 1.0801799297332764, 1.002192497253418, 0.4330924816240134, 2020-03-31_225236
AS, 1, Upd, Table1A, 1000, 10, True, 1.0400731563568115, 0.9670257568359375, 0.3700163777869457, 2020-03-31_225244
AS, 1, Upd, Table1B, 1000, 10, True, 1.0452346801757812, 0.9794235229492188, 0.29113231814894897, 2020-03-31_225244
AS, 1, Del, Table1A, 1000, 10, True, 1.0921196937561035, 0.9797811508178711, 0.41452260548838865, 2020-03-31_225252
AS, 1, Del, Table1B, 1000, 10, True, 3.470223903656006, 3.1850337982177734, 0.986359299665218, 2020-03-31_225252
AS, 1, Del, Table1A, 1000, 10, False, 0.9766702651977539, 0.9527206420898438, 0.28467935797173155, 2020-03-31_225256
AS, 1, Del, Table1B, 1000, 10, False, 0.9632821083068848, 0.95367431640625, 0.06009235698920609, 2020-03-31_225256
SQL, 1, Ins, Table1A, 1000, 1, True, 3.6027004718780518, 3.6612749099731445, 0.4003195683261178, 2020-03-31_225304
SQL, 1, Ins, Table1B, 1000, 1, True, 3.6107022762298584, 3.664255142211914, 0.3862614133918019, 2020-03-31_225304
SQL, 1, Upd, Table1A, 1000, 1, True, 4.272393465042114, 4.277706146240234, 0.6477404570765217, 2020-03-31_225313
SQL, 1, Upd, Table1B, 1000, 1, True, 4.312558174133301, 4.300951957702637, 0.7757023070205695, 2020-03-31_225313
SQL, 1, Del, Table1A, 1000, 1, True, 4.182521343231201, 4.1304826736450195, 0.8113502506774177, 2020-03-31_225317
SQL, 1, Del, Table1B, 1000, 1, True, 4.174220561981201, 4.151821136474609, 0.4120200067199573, 2020-03-31_225317
SQL, 1, Ins, Table1A, 1000, 5, True, 3.7278695106506348, 3.6565065383911133, 0.8368051914291648, 2020-03-31_225325
SQL, 1, Ins, Table1B, 1000, 5, True, 3.6899399757385254, 3.6559104919433594, 1.294843601671066, 2020-03-31_225325
SQL, 1, Upd, Table1A, 1000, 5, True, 4.346960067749023, 4.284381866455078, 0.8774399906139834, 2020-03-31_225334
SQL, 1, Upd, Table1B, 1000, 5, True, 4.375818729400635, 4.283666610717773, 1.1062331562469792, 2020-03-31_225334
SQL, 1, Del, Table1A, 1000, 5, True, 4.247452259063721, 4.1828155517578125, 0.6084297145364771, 2020-03-31_225338
SQL, 1, Del, Table1B, 1000, 5, True, 4.266920566558838, 4.207253456115723, 0.737418737546493, 2020-03-31_225338
SQL, 1, Ins, Table1A, 1000, 10, True, 3.7428760528564453, 3.6994218826293945, 0.7665687294566503, 2020-03-31_225346
SQL, 1, Ins, Table1B, 1000, 10, True, 3.7781121730804443, 3.735184669494629, 0.4060400006469035, 2020-03-31_225346
SQL, 1, Upd, Table1A, 1000, 10, True, 4.476227045059204, 4.401445388793945, 0.6812168497305698, 2020-03-31_225355
SQL, 1, Upd, Table1B, 1000, 10, True, 4.935439348220825, 4.429101943969727, 6.680163615732509, 2020-03-31_225355
SQL, 1, Del, Table1A, 1000, 10, True, 4.28148889541626, 4.237771034240723, 0.418569819368696, 2020-03-31_225359
SQL, 1, Del, Table1B, 1000, 10, True, 4.328423500061035, 4.257321357727051, 0.5755592718013823, 2020-03-31_225359
AS, 2, Ins, Table2A, 1000, 1, True, 1.1281940937042236, 0.9958744049072266, 0.568945533222543, 2020-03-31_225403
AS, 2, Ins, Table2B, 1000, 1, True, 2.4865195751190186, 2.1529197692871094, 1.1461998087402847, 2020-03-31_225403
AS, 2, Ins, Table2A, 1000, 1, False, 1.1788756847381592, 0.9946823120117188, 0.5576309221943567, 2020-03-31_225409
AS, 2, Ins, Table2B, 1000, 1, False, 1.1295318603515625, 0.9968280792236328, 0.49886621184736224, 2020-03-31_225409
AS, 2, Upd, Table2A, 1000, 1, False, 1.176849603652954, 1.0058879852294922, 0.5855018518346343, 2020-03-31_225411
AS, 2, Upd, Table2B, 1000, 1, False, 1.1933927536010742, 1.0112524032592773, 0.7107430474203751, 2020-03-31_225411
AS, 2, Upd, Table2A, 1000, 1, True, 1.0605456829071045, 0.9815692901611328, 0.30411943669732666, 2020-03-31_225419
